,index,name,dry_weight,water_cont,UCS,elastic_mod,poisson,type,rock_type,T,pred_class,type_str
183,202,BHA-108,2874.0,1.0,44.0,73.06800579551894,0.22420000000000015,1,BS,13.014751352381513,3,Basalt
184,203,BHA-109,2008.0,7.0,12.799199999999992,6.255813938725938,0.18539999999999998,3,PYR,1.56,1,Pyroclastic
185,204,BHA-110,2140.0,4.0,31.6,15.403150335126968,0.12319999999999993,1,BS,4.965493999999845,2,Basalt
186,205,BHA-111,1967.0,11.0,11.6064,22.782833236643704,0.08300000000000002,1,BS,1.22,2,Basalt
187,206,BHA-112,2854.0,1.0,135.4,65.4,0.25,1,BS,20.4,4,Basalt
188,207,BHA-113,2915.0,0.05,113.37000000000003,56.43899080442716,0.2601999999999999,1,BS,15.26,4,Basalt
189,208,BHA-114,2945.0,0.05,173.4,68.33102286661904,0.21,1,BS,16.46,4,Basalt
190,211,BHA-117,2905.0,0.05,71.1,75.36750887610575,0.24300000000000008,1,BS,13.76,3,Basalt
191,212,BHA-118,1967.0,8.0,14.3,4.1,0.13159999999999997,3,PYR,2.75,1,Pyroclastic
192,213,BHA-119,1987.0,9.0,11.4,6.106612622206436,0.23899999999999996,3,PYR,1.89,1,Pyroclastic
193,214,BHA-120,2517.0,4.0,46.4,24.2,0.23,1,BS,6.265439109523681,2,Basalt
194,215,BHA-121,2864.0,1.0,124.6,70.16966478270335,0.23659999999999998,1,BS,11.36,4,Basalt
195,216,BHA-122,2578.666666666669,3.0,26.75999999999999,21.674854935030964,0.2800000000000001,1,BS,6.6057893428570855,2,Basalt
196,217,BHA-123,2120.0,5.0,13.2,6.5,0.18,1,BS,2.63,2,Basalt
197,218,BHA-124,2161.0,5.0,14.1,10.867449241163207,0.18220000000000003,1,BS,2.94,2,Basalt
198,219,BHA-125,2823.0,1.0,40.5,74.10275037639045,0.22160000000000024,1,BS,12.771103828571851,3,Basalt
199,220,BHA-126,2874.0,0.05,43.6,73.05392542175534,0.22420000000000015,1,BS,15.36,3,Basalt
200,221,BHA-127,2905.0,0.05,185.6,86.3,0.1910000000000001,1,BS,12.884222000000515,4,Basalt
201,222,BHA-128,2782.0,1.0,22.3,25.226508792050854,0.2358,1,BS,10.87,2,Basalt
202,223,BHA-129,2823.0,1.0,108.375,68.77248188122374,0.2376,1,BS,14.06,4,Basalt
203,227,BHA-133,2640.0,3.0,40.79999999999997,46.57783655351558,0.20739999999999997,1,BS,2.05,3,Basalt
204,228,BHA-134,2742.0,1.0,34.7,45.6,0.17,1,BS,11.64,3,Basalt
205,229,BHA-135,2813.0,1.0,63.0,65.06641762449865,0.24900000000000003,1,BS,10.549551209523658,3,Basalt
206,230,BHA-136,2222.0,8.0,15.024999999999991,9.437053889624465,0.20780000000000015,3,PYR,1.84,1,Pyroclastic
207,231,BHA-137,2528.0,4.0,31.7,27.06685114248794,0.19140000000000007,1,BS,6.24,2,Basalt
208,232,BHA-139,2466.0,4.0,51.6,16.9,0.21,1,BS,6.76,2,Basalt
209,233,BHA-140,2406.375,4.0,53.0,26.83039088478312,0.21520000000000017,1,BS,6.247580471428352,2,Basalt
